dump_addr,size,ref_symbol,ref_addr,ref_size,alignment_score,notes,obj,opcode_sim
0x08010c54,116,enter_bootloader_mode_if_requested,0x08010af0,116,4.20,match; callgraph 2/2; opsim=1.00; truth=enter_bootloader_mode_if_requested,stm32_dfu.o,1.000
0x08010cc8,116,spi_init,0x08010b64,116,4.80,match; entry=bl; callgraph 4/4; opsim=1.00; truth=spi_init,spi_master.o,1.000
0x08010d3c,220,spi_start,0x08010bd8,220,2.50,match; entry=bl; callgraph 4/4; opsim=1.00; truth=spi_start,spi_master.o,1.000
0x08010e18,20,spi_transmit,0x08010cb4,20,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=spi_transmit,spi_master.o,1.000
0x08010e2c,36,spi_stop,0x08010cc8,36,2.20,match; entry=bl; callgraph 3/3; opsim=1.00; truth=spi_stop,spi_master.o,1.000
0x08010e50,4,dummy_cb,0x08010cec,2,0.40,match; entry=ptr; opsim=0.67; truth=dummy_cb,usb_main.o,0.667
0x08010e54,280,usb_requests_hook_cb,0x08010cf0,280,1.90,match; entry=ptr; opsim=1.00; truth=usb_requests_hook_cb,usb_main.o,1.000
0x08010f6c,68,usb_get_descriptor_cb,0x08010e08,68,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00; truth=usb_get_descriptor_cb,usb_main.o,1.000
0x08010fb0,52,set_led_transfer_cb,0x08010e4c,52,1.90,match; entry=ptr; opsim=1.00; truth=set_led_transfer_cb,usb_main.o,1.000
0x08010fe4,40,usb_event_queue_enqueue.isra.0,0x08010e80,40,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=usb_event_queue_enqueue.isra.0,usb_main.o,1.000
0x0801100c,192,usb_event_cb,0x08010ea8,192,2.20,match; entry=ptr; callgraph 7/7; opsim=1.00; truth=usb_event_cb,usb_main.o,1.000
0x080110cc,36,usb_event_queue_init,0x08010f68,36,2.20,match; entry=bl; callgraph 3/3; opsim=1.00; truth=usb_event_queue_init,usb_main.o,1.000
0x080110f0,180,usb_event_queue_task,0x08010f8c,180,2.20,match; callgraph 5/5; opsim=1.00; truth=usb_event_queue_task,usb_main.o,1.000
0x080111a4,80,init_usb_driver,0x08011040,80,2.20,match; entry=bl; callgraph 8/8; opsim=1.00; truth=init_usb_driver,usb_main.o,1.000
0x080111f4,12,keyboard_leds,0x08011090,12,1.90,match; entry=ptr; opsim=1.00; truth=keyboard_leds,usb_main.o,1.000
0x08011200,32,send_report,0x0801109c,32,2.50,match; entry=bl; callgraph 2/2; opsim=1.00; truth=send_report,usb_main.o,1.000
0x08011220,10,send_keyboard,0x080110bc,10,1.90,match; entry=ptr; opsim=1.00; truth=send_keyboard,usb_main.o,1.000
0x0801122a,10,send_nkro,0x080110c6,10,1.90,match; entry=ptr; opsim=1.00; truth=send_nkro,usb_main.o,1.000
0x08011234,10,send_mouse,0x080110d0,10,1.90,match; entry=ptr; opsim=1.00; truth=send_mouse,usb_main.o,1.000
0x0801123e,10,send_extra,0x080110da,10,1.90,match; entry=ptr; opsim=1.00; truth=send_extra,usb_main.o,1.000
0x08011248,16,raw_hid_send,0x080110e4,16,1.90,match; entry=bl; callgraph 3/3; opsim=1.00; truth=raw_hid_send,usb_main.o,1.000
0x08011258,36,raw_hid_task,0x080110f4,36,2.20,match; entry=bl; callgraph 2/3; opsim=1.00; truth=raw_hid_task,usb_main.o,1.000
0x0801127c,4,early_hardware_init_pre,0x08011118,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=early_hardware_init_pre,chibios.o,1.000
0x08011280,2,early_hardware_init_post,0x0801111c,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=early_hardware_init_post,chibios.o,1.000
0x08011282,2,board_init,0x0801111e,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=board_init,chibios.o,1.000
0x08011284,16,__early_init,0x08011120,16,2.20,match; entry=bl; callgraph 4/4; opsim=1.00; truth=__early_init,chibios.o,1.000
0x08011294,12,boardInit,0x08011130,12,2.20,match; entry=bl; callgraph 3/3; opsim=1.00; truth=boardInit,chibios.o,1.000
0x080112a0,4,protocol_setup,0x0801113c,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=protocol_setup,chibios.o,1.000
0x080112a4,44,protocol_pre_init,0x08011140,44,2.50,match; entry=bl; callgraph 3/3; opsim=1.00; truth=protocol_pre_init,chibios.o,1.000
0x080112d0,12,protocol_post_init,0x0801116c,12,1.90,match; opsim=1.00; truth=protocol_post_init,chibios.o,1.000
0x080112dc,4,protocol_pre_task,0x08011178,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=protocol_pre_task,chibios.o,1.000
0x080112e0,16,protocol_post_task,0x0801117c,14,1.82,match; callgraph 1/1; opsim=0.89; truth=protocol_post_task,chibios.o,0.889
0x080112f0,120,get_usb_descriptor,0x0801118c,120,4.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=get_usb_descriptor,usb_descriptor.o,1.000
0x08011368,58,obnotify,0x08011204,58,2.20,match; entry=ptr; callgraph 2/2; opsim=1.00; truth=obnotify,usb_driver.o,1.000
0x080113a2,54,usb_start_receive,0x0801123e,54,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=usb_start_receive,usb_driver.o,1.000
0x080113d8,8,ibnotify,0x08011274,6,1.15,match; entry=ptr; opsim=0.80; truth=ibnotify,usb_driver.o,0.800
0x080113e0,56,usb_endpoint_in_init,0x0801127c,56,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=usb_endpoint_in_init,usb_driver.o,1.000
0x08011418,40,usb_endpoint_out_init,0x080112b4,40,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=usb_endpoint_out_init,usb_driver.o,1.000
0x08011440,32,usb_endpoint_in_start,0x080112dc,32,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=usb_endpoint_in_start,usb_driver.o,1.000
0x08011460,30,usb_endpoint_out_start,0x080112fc,30,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=usb_endpoint_out_start,usb_driver.o,1.000
0x0801147e,40,usb_endpoint_in_suspend_cb,0x0801131a,40,2.20,match; entry=bl; callgraph 3/3; opsim=1.00; truth=usb_endpoint_in_suspend_cb,usb_driver.o,1.000
0x080114a6,26,usb_endpoint_out_suspend_cb,0x08011342,26,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=usb_endpoint_out_suspend_cb,usb_driver.o,1.000
0x080114c0,6,usb_endpoint_in_wakeup_cb,0x0801135c,6,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=usb_endpoint_in_wakeup_cb,usb_driver.o,1.000
0x080114c6,6,usb_endpoint_out_wakeup_cb,0x08011362,6,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=usb_endpoint_out_wakeup_cb,usb_driver.o,1.000
0x080114cc,32,usb_endpoint_in_configure_cb,0x08011368,32,2.20,match; entry=bl; callgraph 3/3; opsim=1.00; truth=usb_endpoint_in_configure_cb,usb_driver.o,1.000
0x080114ec,22,usb_endpoint_out_configure_cb,0x08011388,22,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=usb_endpoint_out_configure_cb,usb_driver.o,1.000
0x08011502,150,usb_endpoint_in_tx_complete_cb,0x0801139e,150,2.20,match; entry=ptr; callgraph 3/3; opsim=1.00; truth=usb_endpoint_in_tx_complete_cb,usb_driver.o,1.000
0x08011598,66,usb_endpoint_out_rx_complete_cb,0x08011434,66,2.20,match; entry=ptr; callgraph 2/2; opsim=1.00; truth=usb_endpoint_out_rx_complete_cb,usb_driver.o,1.000
0x080115da,154,usb_endpoint_in_send,0x08011476,154,2.20,match; entry=bl; callgraph 6/6; opsim=1.00; truth=usb_endpoint_in_send,usb_driver.o,1.000
0x08011674,56,usb_endpoint_in_is_inactive,0x08011510,56,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=usb_endpoint_in_is_inactive,usb_driver.o,1.000
0x080116ac,76,usb_endpoint_out_receive,0x08011548,76,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=usb_endpoint_out_receive,usb_driver.o,1.000
0x080116f8,38,usb_set_report,0x08011594,38,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00; truth=usb_set_report,usb_report_handling.o,1.000
0x0801171e,22,usb_get_report,0x080115ba,22,1.90,match; entry=ptr; opsim=1.00; truth=usb_get_report,usb_report_handling.o,1.000
0x08011734,28,usb_reset_report,0x080115d0,28,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00; truth=usb_reset_report,usb_report_handling.o,1.000
0x08011750,58,usb_shared_set_report,0x080115ec,58,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00; truth=usb_shared_set_report,usb_report_handling.o,1.000
0x0801178a,28,usb_shared_get_report,0x08011626,28,1.90,match; entry=ptr; opsim=1.00; truth=usb_shared_get_report,usb_report_handling.o,1.000
0x080117a6,38,usb_shared_reset_report,0x08011642,38,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00; truth=usb_shared_reset_report,usb_report_handling.o,1.000
0x080117cc,88,usb_get_report_cb,0x08011668,88,1.90,match; opsim=1.00; truth=usb_get_report_cb,usb_report_handling.o,1.000
0x08011824,28,usb_set_idle_rate,0x080116c0,28,1.90,match; entry=ptr; opsim=1.00; truth=usb_set_idle_rate,usb_report_handling.o,1.000
0x08011840,12,usb_get_idle_rate,0x080116dc,12,1.90,match; entry=ptr; opsim=1.00; truth=usb_get_idle_rate,usb_report_handling.o,1.000
0x0801184c,80,usb_idle_timer_elapsed,0x080116e8,80,2.50,match; entry=ptr; callgraph 2/2; opsim=1.00; truth=usb_idle_timer_elapsed,usb_report_handling.o,1.000
0x0801189c,36,usb_shared_set_idle_rate,0x08011738,36,1.90,match; entry=ptr; opsim=1.00; truth=usb_shared_set_idle_rate,usb_report_handling.o,1.000
0x080118c0,24,usb_shared_get_idle_rate,0x0801175c,22,1.65,match; entry=ptr; opsim=0.95; truth=usb_shared_get_idle_rate,usb_report_handling.o,0.947
0x080118d8,88,usb_shared_idle_timer_elapsed,0x08011774,88,2.50,match; entry=ptr; callgraph 2/2; opsim=1.00; truth=usb_shared_idle_timer_elapsed,usb_report_handling.o,1.000
0x08011930,244,usb_idle_task,0x080117cc,244,2.20,match; callgraph 2/2; opsim=1.00; truth=usb_idle_task,usb_report_handling.o,1.000
0x08011a24,80,usb_get_idle_cb,0x080118c0,80,1.90,match; opsim=1.00; truth=usb_get_idle_cb,usb_report_handling.o,1.000
0x08011a74,76,usb_set_idle_cb,0x08011910,76,1.90,match; opsim=1.00; truth=usb_set_idle_cb,usb_report_handling.o,1.000
0x08011ac0,24,__core_init,0x0801195c,24,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=__core_init,chmemcore.o,1.000
0x08011ad8,44,chCoreAllocFromBaseI,0x08011974,44,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=chCoreAllocFromBaseI,chmemcore.o,1.000
0x08011b04,20,chCoreAllocFromBase,0x080119a0,20,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=chCoreAllocFromBase,chmemcore.o,1.000
0x08011b18,2,__cpu_init,0x080119b4,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=__cpu_init,crt1.o,1.000
0x08011b1a,2,__late_init,0x080119b6,2,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=__late_init,crt1.o,1.000
0x08011b1c,4,__default_exit,0x080119b8,2,0.40,match; opsim=0.67; truth=__default_exit,crt1.o,0.667
0x08011b20,76,__init_ram_areas,0x080119bc,76,1.60,match; entry=bl; callgraph 1/1; opsim=1.00; truth=__init_ram_areas,crt1.o,1.000
0x08011b6c,48,chSysInit,0x08011a08,48,1.90,match; callgraph 2/2; opsim=1.00; truth=chSysInit,chsys.o,1.000
0x08011b9c,24,chSysHalt,0x08011a38,24,1.90,match; entry=bl; callgraph 5/5; opsim=1.00; truth=chSysHalt,chsys.o,1.000
0x08011bb4,4,chSysTimerHandlerI,0x08011a50,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=chSysTimerHandlerI,chsys.o,1.000
0x08011bb8,18,chSysGetStatusAndLockX,0x08011a54,18,1.90,match; entry=bl; callgraph 2/2; opsim=1.00; truth=chSysGetStatusAndLockX,chsys.o,1.000
0x08011bca,30,chSysRestoreStatusX,0x08011a66,30,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=chSysRestoreStatusX,chsys.o,1.000
0x08011be8,20,chSysPolledDelayX,0x08011a84,20,3.90,match; entry=bl; callgraph 2/2; opsim=1.00; truth=chSysPolledDelayX,chsys.o,1.000
0x08011bfc,16,chRFCUCollectFaultsI,0x08011a98,16,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=chRFCUCollectFaultsI,chrfcu.o,1.000
0x08011c0c,42,ch_dlist_insert,0x08011aa8,42,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=ch_dlist_insert,chvt.o,1.000
0x08011c36,54,vt_set_alarm,0x08011ad2,54,2.20,match; entry=bl; callgraph 3/3; opsim=1.00; truth=vt_set_alarm,chvt.o,1.000
0x08011c6c,88,vt_insert_first.constprop.0,0x08011b08,88,2.20,match; callgraph 3/3; opsim=1.00; truth=vt_insert_first.constprop.0,chvt.o,1.000
0x08011cc4,80,vt_enqueue.constprop.0,0x08011b60,80,2.20,match; callgraph 2/2; opsim=1.00; truth=vt_enqueue.constprop.0,chvt.o,1.000
0x08011d14,12,chVTDoSetI,0x08011bb0,12,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=chVTDoSetI,chvt.o,1.000
0x08011d20,108,chVTDoResetI,0x08011bbc,108,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=chVTDoResetI,chvt.o,1.000
0x08011d8c,180,chVTDoTickI,0x08011c28,180,2.20,match; callgraph 4/4; opsim=1.00; truth=chVTDoTickI,chvt.o,1.000
0x08011e40,28,__sch_ready_behind,0x08011cdc,28,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=__sch_ready_behind,chschd.o,1.000
0x08011e5c,28,__sch_ready_ahead,0x08011cf8,28,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=__sch_ready_ahead,chschd.o,1.000
0x08011e78,68,__sch_wakeup,0x08011d14,68,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00; truth=__sch_wakeup,chschd.o,1.000
0x08011ebc,4,chSchReadyI,0x08011d58,4,1.90,match; entry=bl; callgraph 3/3; opsim=1.00; truth=chSchReadyI,chschd.o,1.000
0x08011ec0,28,chSchGoSleepS,0x08011d5c,28,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=chSchGoSleepS,chschd.o,1.000
0x08011edc,60,chSchGoSleepTimeoutS,0x08011d78,60,2.20,match; entry=bl; callgraph 4/4; opsim=1.00; truth=chSchGoSleepTimeoutS,chschd.o,1.000
0x08011f18,24,chSchIsPreemptionRequired,0x08011db4,24,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=chSchIsPreemptionRequired,chschd.o,1.000
0x08011f30,40,chSchDoPreemption,0x08011dcc,40,2.20,match; entry=bl; callgraph 1/1; opsim=1.00; truth=chSchDoPreemption,chschd.o,1.000
0x08011f58,24,chSchRescheduleS,0x08011df4,24,1.90,match; entry=bl; callgraph 4/4; opsim=1.00; truth=chSchRescheduleS,chschd.o,1.000
0x08011f70,4,__idle_thread,0x08011e0c,4,1.90,match; entry=ptr; opsim=1.00; truth=__idle_thread,chinstances.o,1.000
0x08011f74,128,chInstanceObjectInit,0x08011e10,128,5.20,match; entry=bl; callgraph 5/5; opsim=1.00; truth=chInstanceObjectInit,chinstances.o,1.000
0x08011ff4,20,__thd_object_init,0x08011e90,20,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=__thd_object_init,chthreads.o,1.000
0x08012008,80,chThdCreateSuspendedI,0x08011ea4,80,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=chThdCreateSuspendedI,chthreads.o,1.000
0x08012058,16,chThdCreateI,0x08011ef4,14,1.82,match; entry=bl; callgraph 2/2; opsim=0.89; truth=chThdCreateI,chthreads.o,0.889
0x08012068,16,chThdExitS,0x08011f04,16,1.90,match; opsim=1.00; truth=chThdExitS,chthreads.o,1.000
0x08012078,10,chThdExit,0x08011f14,10,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=chThdExit,chthreads.o,1.000
0x08012082,26,chThdSleep,0x08011f1e,24,1.97,match; entry=bl; callgraph 17/17; opsim=0.95; truth=chThdSleep,chthreads.o,0.947
0x0801209c,28,chThdSuspendTimeoutS,0x08011f38,28,1.90,match; opsim=1.00; truth=chThdSuspendTimeoutS,chthreads.o,1.000
0x080120b8,20,chThdResumeI,0x08011f54,18,1.60,match; entry=bl; callgraph 9/9; opsim=0.94; truth=chThdResumeI,chthreads.o,0.941
0x080120cc,32,chThdEnqueueTimeoutS,0x08011f68,32,1.90,match; entry=bl; callgraph 2/2; opsim=1.00; truth=chThdEnqueueTimeoutS,chthreads.o,1.000
0x080120ec,22,chThdDequeueNextI,0x08011f88,22,1.90,match; opsim=1.00; truth=chThdDequeueNextI,chthreads.o,1.000
0x08012102,28,chThdDequeueAllI,0x08011f9e,28,2.20,match; entry=bl; callgraph 4/4; opsim=1.00; truth=chThdDequeueAllI,chthreads.o,1.000
0x0801211e,30,ch_sch_prio_insert,0x08011fba,30,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=ch_sch_prio_insert,chmtx.o,1.000
0x0801213c,12,chMtxObjectInit,0x08011fd8,10,1.40,match; opsim=0.91; truth=chMtxObjectInit,chmtx.o,0.909
0x08012148,100,chMtxLockS,0x08011fe4,100,2.20,match; entry=bl; callgraph 3/3; opsim=1.00; truth=chMtxLockS,chmtx.o,1.000
0x080121ac,20,chMtxLock,0x08012048,20,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=chMtxLock,chmtx.o,1.000
0x080121c0,92,chMtxUnlock,0x0801205c,92,2.20,match; entry=bl; callgraph 3/3; opsim=1.00; truth=chMtxUnlock,chmtx.o,1.000
0x0801221c,32,SVC_Handler,0x080120b8,32,3.90,match; entry=vector; anchor=vector; opsim=1.00; truth=SVC_Handler,chcore.o,1.000
0x0801223c,72,port_init,0x080120d8,72,3.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=port_init,chcore.o,1.000
0x08012284,84,__port_irq_epilogue,0x08012120,84,4.50,match; callgraph 1/1; opsim=1.00; truth=__port_irq_epilogue,chcore.o,1.000
0x080122d8,42,halInit,0x08012174,38,1.91,match; entry=bl; callgraph 9/9; opsim=0.95; truth=halInit,hal.o,0.952
0x08012302,8,stGetCounter,0x0801219e,8,2.20,match; entry=bl; callgraph 13/13; opsim=1.00; truth=stGetCounter,hal_st.o,1.000
0x0801230a,16,stStartAlarm,0x080121a6,16,2.20,match; entry=bl; callgraph 1/1; opsim=1.00; truth=stStartAlarm,hal_st.o,1.000
0x0801231a,10,stStopAlarm,0x080121b6,10,2.20,match; entry=bl; callgraph 1/1; opsim=1.00; truth=stStopAlarm,hal_st.o,1.000
0x08012324,8,stSetAlarm,0x080121c0,8,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=stSetAlarm,hal_st.o,1.000
0x0801232c,46,ibqObjectInit,0x080121c8,46,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=ibqObjectInit,hal_buffers.o,1.000
0x0801235a,22,ibqResetI,0x080121f6,22,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=ibqResetI,hal_buffers.o,1.000
0x08012370,20,ibqGetEmptyBufferI,0x0801220c,20,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=ibqGetEmptyBufferI,hal_buffers.o,1.000
0x08012384,32,ibqPostFullBufferI,0x08012220,32,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=ibqPostFullBufferI,hal_buffers.o,1.000
0x080123a4,50,ibqGetFullBufferTimeoutS,0x08012240,50,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=ibqGetFullBufferTimeoutS,hal_buffers.o,1.000
0x080123d6,36,ibqReleaseEmptyBufferS,0x08012272,36,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=ibqReleaseEmptyBufferS,hal_buffers.o,1.000
0x080123fa,130,ibqReadTimeout,0x08012296,130,2.20,match; entry=bl; callgraph 4/4; opsim=1.00; truth=ibqReadTimeout,hal_buffers.o,1.000
0x0801247c,46,obqObjectInit,0x08012318,46,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=obqObjectInit,hal_buffers.o,1.000
0x080124aa,24,obqResetI,0x08012346,24,1.90,match; entry=bl; callgraph 3/3; opsim=1.00; truth=obqResetI,hal_buffers.o,1.000
0x080124c2,28,obqGetFullBufferI,0x0801235e,28,1.90,match; entry=bl; callgraph 2/2; opsim=1.00; truth=obqGetFullBufferI,hal_buffers.o,1.000
0x080124de,30,obqReleaseEmptyBufferI,0x0801237a,30,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=obqReleaseEmptyBufferI,hal_buffers.o,1.000
0x080124fc,50,obqGetEmptyBufferTimeoutS,0x08012398,50,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=obqGetEmptyBufferTimeoutS,hal_buffers.o,1.000
0x0801252e,38,obqPostFullBufferS,0x080123ca,38,1.90,match; entry=bl; callgraph 2/2; opsim=1.00; truth=obqPostFullBufferS,hal_buffers.o,1.000
0x08012554,134,obqWriteTimeout,0x080123f0,134,2.20,match; entry=bl; callgraph 4/4; opsim=1.00; truth=obqWriteTimeout,hal_buffers.o,1.000
0x080125da,34,obqFlush,0x08012476,32,2.02,match; entry=bl; callgraph 2/2; opsim=0.96; truth=obqFlush,hal_buffers.o,0.963
0x080125fc,64,flashWaitErase,0x08012498,64,2.80,match; entry=bl; callgraph 3/3; opsim=1.00; truth=flashWaitErase,hal_flash.o,1.000
0x0801263c,26,flashGetSectorOffset,0x080124d8,26,1.90,match; entry=bl; callgraph 2/2; opsim=1.00; truth=flashGetSectorOffset,hal_flash.o,1.000
0x08012656,26,flashGetSectorSize,0x080124f2,26,1.90,match; entry=bl; callgraph 2/2; opsim=1.00; truth=flashGetSectorSize,hal_flash.o,1.000
0x08012670,16,flashGetOffsetAddress,0x0801250c,16,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=flashGetOffsetAddress,hal_flash.o,1.000
0x08012680,12,efl_release_exclusive,0x0801251c,12,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00; truth=efl_release_exclusive,hal_efl.o,1.000
0x0801268c,12,efl_acquire_exclusive,0x08012528,12,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00; truth=efl_acquire_exclusive,hal_efl.o,1.000
0x08012698,4,eflInit,0x08012534,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=eflInit,hal_efl.o,1.000
0x0801269c,20,eflObjectInit,0x08012538,20,1.60,match; entry=bl; callgraph 1/1; opsim=1.00; truth=eflObjectInit,hal_efl.o,1.000
0x080126b0,28,eflStart,0x0801254c,28,2.20,match; entry=bl; callgraph 2/2; opsim=1.00; truth=eflStart,hal_efl.o,1.000
0x080126cc,28,eflStop,0x08012568,26,1.99,match; entry=bl; callgraph 2/2; opsim=0.95; truth=eflStop,hal_efl.o,0.952
0x080126e8,24,palSetLineCallbackI,0x08012584,24,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=palSetLineCallbackI,hal_pal.o,1.000
0x08012700,4,rtcInit,0x0801259c,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=rtcInit,hal_rtc.o,1.000
0x08012704,12,rtcObjectInit,0x080125a0,12,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=rtcObjectInit,hal_rtc.o,1.000
0x08012710,4,rtcSetTime,0x080125ac,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=rtcSetTime,hal_rtc.o,1.000
0x08012714,4,rtcGetTime,0x080125b0,4,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=rtcGetTime,hal_rtc.o,1.000
0x08012718,4,spiInit,0x080125b4,4,1.90,match; entry=bl; callgraph 2/2; opsim=1.00; truth=spiInit,hal_spi.o,1.000
0x0801271c,16,spiObjectInit,0x080125b8,16,1.90,match; entry=bl; callgraph 1/1; opsim=1.00; truth=spiObjectInit,hal_spi.o,1.000
0x0801272c,34,spiStart,0x080125c8,34,2.20,match; entry=bl; callgraph 4/4; opsim=1.00; truth=spiStart,hal_spi.o,1.000
0x0801274e,28,spiStop,0x080125ea,28,2.20,match; entry=bl; callgraph 5/5; opsim=1.00; truth=spiStop,hal_spi.o,1.000
0x0801276a,26,spiSelect,0x08012606,26,1.90,match; entry=bl; callgraph 4/4; opsim=1.00; truth=spiSelect,hal_spi.o,1.000
0x08012784,26,spiUnselect,0x08012620,26,1.90,match; entry=bl; callgraph 2/2; opsim=1.00; truth=spiUnselect,hal_spi.o,1.000
